model,site,horizon_hours,rmse_mean,rmse_std,rmse_day_mean,rmse_day_std,skill_day_mean,skill_day_std,pers_rmse_day,n_seeds
ResNet+LSTM,elpaso,3.0,170.8791751973548,11.66836030333375,216.60199676457154,10.380463098206176,0.47301227729781914,0.0252554301919181,411.0190568651641,5
ResNet+LSTM,elpaso,6.0,162.9088366457841,8.066377666151325,220.74483366453282,11.97310178539981,0.6095268631153173,0.021179089606643057,565.3265559462145,5
ResNet+LSTM,elpaso,1.0,219.52253173285038,12.428706065712685,238.72358704449584,5.29397029029659,-0.1676451194968362,0.025893874370587044,204.44875164413472,5
ResNet+LSTM,uniandes,3.0,210.40533438551074,23.369679011615155,256.15809402288306,3.3137107492417273,0.3675309813653838,0.008181741801313794,405.0128725291247,5
ResNet+LSTM,uniandes,6.0,233.80322568736148,33.26964416609262,284.50064008184427,19.47282257973382,0.39271461320438594,0.04785671942937059,468.7637698545126,5
ResNet+LSTM,uniandes,1.0,169.28733844129164,3.695179679091767,250.29944946075284,5.299395795590686,0.14829045369690633,0.01803258456407753,293.87888224007196,5
GraphSAGE+LSTM,elpaso,3.0,217.4331762158462,18.346393629815434,243.99162102061914,13.502013807030492,0.40637394557435186,0.032850091939799826,411.0190568651641,5
GraphSAGE+LSTM,elpaso,6.0,168.92949449671437,8.572990331271109,230.4072251496412,11.33872226974272,0.5924351638426095,0.02005694257678117,565.3265559462145,5
GraphSAGE+LSTM,elpaso,1.0,217.5034997608474,5.365820821399248,253.72871985414199,25.809151371594286,-0.24103824461488124,0.1262377547627084,204.44875164413472,5
GraphSAGE+LSTM,uniandes,3.0,178.91240962767353,6.582075108672399,255.1389294057388,3.244614319709373,0.3700473572296373,0.008011138755783694,405.0128725291247,5
GraphSAGE+LSTM,uniandes,6.0,216.66632720794968,9.669671709134047,274.20334296637856,5.118141435553724,0.4177354113303604,0.010868257423437496,470.9256724556766,5
GraphSAGE+LSTM,uniandes,1.0,168.3189683043592,4.633645817284905,247.9657276415281,5.9723960739557915,0.1562315544709262,0.020322644582120318,293.87888224007196,5
MLP (Optuna),elpaso,3.0,263.52905555522176,6.671594124142918,270.1221831963938,3.203348741894716,0.3427988832035897,0.007793674498517375,411.01905686516415,3
MLP (Optuna),elpaso,1.0,316.2056172273456,32.20726580646685,279.6576990881814,13.1859115648258,-0.3678621015742599,0.06449494779883648,204.44875164413472,4
MLP (Optuna),uniandes,3.0,214.72952076239648,7.599257804814272,275.5142334874252,5.597994488339397,0.3197395634194019,0.013821769301756773,405.0128725291247,4
MLP (Optuna),uniandes,6.0,271.4545026739678,0.1912840063362306,283.0289460465376,1.1813506213479448,0.39899444307068305,0.0025085712893666034,470.92567245567665,2
MLP (Optuna),uniandes,1.0,194.70165650185007,10.20222636576976,271.2362006504244,13.02990764675022,0.07704766472859903,0.04433767934405689,293.87888224007196,4
ResNet+LSTM (Optuna),elpaso,3.0,205.97096982944464,64.9055792290925,238.49271553635577,42.651774150716676,0.4197526573212071,0.10377079465857611,411.01905686516415,4
ResNet+LSTM (Optuna),elpaso,6.0,160.7800930463261,8.945955870624791,218.41621674065775,13.175332238798484,0.6136459282810738,0.02330570198802402,565.3265559462145,4
ResNet+LSTM (Optuna),elpaso,1.0,199.7965685192935,25.538709486832335,238.60029109013664,22.41275381081513,-0.16704205416448437,0.1096252905952043,204.44875164413472,4
ResNet+LSTM (Optuna),uniandes,3.0,197.7883168078054,19.333526239352125,255.73738945633957,4.7982863345427145,0.3685697250574457,0.01184724402604672,405.0128725291247,4
ResNet+LSTM (Optuna),uniandes,6.0,262.10459769068405,30.037907276307394,297.8603778973184,8.806780507816175,0.36750023343577165,0.018700998953598197,470.92567245567665,4
ResNet+LSTM (Optuna),uniandes,1.0,166.55938057805986,2.992361765027958,246.6553864368077,4.115814720112099,0.16069033420607562,0.014005139425941612,293.87888224007196,4
GraphSAGE+LSTM (Optuna),elpaso,3.0,200.77462577913528,16.944244388662973,238.94779472851832,15.866217133313999,0.41864546001596914,0.03860214476264278,411.01905686516415,4
GraphSAGE+LSTM (Optuna),elpaso,6.0,151.26056613024355,6.299583968228647,206.05940977934705,7.434267378397634,0.6355037498027046,0.013150394758927505,565.3265559462145,4
GraphSAGE+LSTM (Optuna),elpaso,1.0,213.26824445702434,9.620554584165935,244.74249488887335,8.133869710207426,-0.19708480937498263,0.03978439410755255,204.44875164413472,4
GraphSAGE+LSTM (Optuna),uniandes,3.0,175.0909015850461,1.8043580006893452,252.53830918954438,1.4898301248027446,0.3764684376263039,0.003678475983983986,405.0128725291247,4
GraphSAGE+LSTM (Optuna),uniandes,6.0,223.92063971498072,13.413883840690195,274.42278408800513,3.911332769607302,0.4172694330784587,0.008305626552936351,470.92567245567665,4
GraphSAGE+LSTM (Optuna),uniandes,1.0,170.40695760837193,4.228659185782867,250.81079876343392,5.077857878973279,0.1465504535349915,0.0172787436792587,293.87888224007196,4
ResNet+LSTM (Optuna v2),elpaso,3.0,185.02973586802523,15.272454075481058,245.93877836654806,19.738596532920255,0.401636556119031,0.048023555607046964,411.01905686516415,3
